keys,en,es
credits,Credits,Créditos
play,Play,Jugar
settings,Game Settings,Configuración
Arte,Art,Arte
Música y Sonido,Music and sound,Música y Sonido
Programación,Programming,Programación
leave_game,Leave game,Salir del juego
Leave game,Leave game,Salir del juego
Reintentar,Retry,Reintentar
¿Cuantas _ se necesitan para cambiar una lamparita?,How many _ does it take to change a lightbulb?,¿Cuantas _ se necesitan para cambiar una lamparita?
return_to_main,Return to main menu,Volver al Menu
return_to_menu,Back to menu,Volver al Menu
settings_volume_master_enabled,Master Enabled,Maestro encendido
settings_volume_master,Master Volume,Volumen maestro
settings_volume_music_enabled,Music enabled,Música encendida
settings_volume_music,Music Volume,Volumen de música
settings_volume_sound_enabled,Sound enabled,Sonidos encendidos
settings_volume_sound,Sound Volume,Volumen de sonidos
settings_language,Game Language,Lenguaje del Juego
Game Settings,Game Settings,Configuración del Juego
to_main_menu,To Main Menu,Volver al Menu
game_paused,Game paused,Pausa
resume_game,Resume game,Volver al Juego
volver_a_seleccion_de_niveles,Back to level selection,Volver a selección de niveles
se_necesitan_para_cambiar_un_foquito, does it take to change a lightbulb?,se necesitan para cambiar un foquito?
Cuantas,how many,¿Cuántas
Cuantos,how many,¿Cuántos
gallinas,chicken,gallinas
gallina,chicken,gallina
ingenieros,engineers,ingenieros
elefantes,elephants,elefantes
personas,people,personas
programadores,programmers,programadores
sonidistas,sound engineers,sonidistas
artistas,artists,artistas
game designers,game designers,game designers
productores,producers,productores
Elefante,Elephant,Elefante
Gallina,Chicken,Gallina
Ingeniero,Engineer,Ingeniero
Ventilador,Fan,Ventilador
Próximo Nivel  ▶,Next Level  ▶,Próximo Nivel  ▶
¡Ganaste!,You won!,¡Ganaste!
Menor cantidad:,Lowest amount:,Menor cantidad:
Mejor tiempo:,Best time:,Mejor tiempo:
Por su pollo,How many chicken,Por su pollo
Elefante en la habitación,Elephant in the room,Elefante en la habitación
Necesitamos un ingeniero,We need an engineer,Necesitamos un ingeniero
"Por su pollo, la venganza","How many chicken II","Por su pollo, la venganza"
Al revés,Upside Down,Al revés
Atrapado,Trapped,Atrapado
Laberinto,Maze,Laberinto
Bloqueo,Blocked,Bloqueo
"Ganaste... pero, ¡a qué costo!","You won...but was it worth it?","Ganaste... pero, ¡a qué costo!"
